[header]
width=26
height=42
tilewidth=32
tileheight=32

[tilesets]
tileset=PROJET/Cave vin/SMBcaveVin.png,32,32,0,0

[layer]
type=Calque de Tile 1
data=
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,
1,45,15,19,24,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,37,1,0,0,0,0,
1,30,18,26,18,20,21,20,21,20,21,18,18,18,20,21,20,21,20,21,29,1,0,0,0,0,
1,30,25,33,25,27,28,27,28,27,28,25,25,25,27,28,27,28,27,28,29,1,0,0,0,0,
1,30,32,40,32,34,35,34,35,34,35,32,32,32,34,35,34,35,34,35,29,1,1,1,1,1,
1,30,2,3,4,5,10,12,2,5,9,4,11,9,11,2,5,12,10,4,24,31,31,31,37,1,
1,30,9,10,11,12,4,5,2,11,9,10,11,12,11,9,5,2,4,5,20,21,20,21,29,1,
1,43,36,36,36,36,36,36,36,36,36,36,36,36,36,36,22,4,5,2,27,28,27,28,29,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,11,12,11,34,35,34,35,29,1,
1,1,45,31,31,31,31,31,31,31,31,31,31,31,31,31,15,9,5,12,2,5,4,5,29,1,
1,1,30,18,18,20,21,20,21,20,21,20,21,20,21,20,21,12,4,5,10,11,11,12,29,1,
1,1,30,25,25,27,28,27,28,27,28,27,28,27,28,27,28,9,11,12,2,12,2,11,29,1,
1,1,30,32,32,34,35,34,35,34,35,34,35,34,35,34,35,9,10,11,12,23,36,36,44,1,
1,1,30,11,12,9,10,11,12,12,2,9,4,2,9,10,11,5,2,4,9,29,1,1,1,1,
1,1,30,9,10,5,4,12,9,10,11,12,9,9,5,4,12,9,12,10,5,29,1,1,1,1,
1,1,30,5,9,23,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,44,1,1,1,1,
1,1,30,12,2,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,30,4,2,24,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,37,1,0,
1,1,30,11,9,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,29,1,0,
1,1,30,2,5,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,29,1,0,
1,1,30,12,4,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,29,1,0,
0,1,30,2,9,5,4,5,4,10,11,5,10,9,10,11,12,9,10,11,12,2,4,29,1,0,
0,1,30,9,2,12,11,12,5,9,10,11,12,5,10,2,5,5,2,4,5,9,11,29,1,0,
0,1,30,9,10,11,12,2,11,12,9,10,11,12,5,9,12,12,9,4,5,10,11,29,1,0,
0,1,43,36,36,36,36,36,36,36,36,36,36,36,36,36,22,9,12,9,10,11,12,29,1,0,
0,1,1,1,1,1,1,1,1,1,1,1,45,31,31,31,15,4,5,10,11,10,10,29,1,0,
0,1,45,31,31,31,31,31,31,31,31,31,15,18,18,18,18,9,10,11,12,4,5,29,1,0,
0,1,30,18,18,18,18,18,18,18,18,18,18,25,25,25,25,9,2,4,5,11,12,29,1,0,
0,1,30,25,25,25,25,25,25,25,25,25,25,32,32,32,32,5,9,9,10,11,12,29,1,0,
0,1,30,32,32,32,32,32,32,32,32,32,32,5,4,10,5,12,4,12,12,4,9,29,1,0,
0,1,30,9,10,11,12,2,4,9,2,9,5,9,10,11,12,12,11,4,5,11,2,29,1,0,
0,1,30,2,12,5,10,9,11,12,12,4,12,9,10,11,12,23,36,36,36,36,36,44,1,0,
0,1,30,9,9,12,11,9,10,11,12,11,12,23,36,36,36,44,1,1,1,1,1,1,1,1,
0,1,43,36,36,36,36,36,36,36,22,2,12,29,1,1,1,1,1,1,1,1,1,1,1,0,
0,1,1,1,1,1,1,1,1,1,30,12,9,24,31,31,31,31,31,31,31,31,31,37,1,0,
0,1,0,0,0,0,0,0,0,1,30,2,2,18,18,18,18,18,18,18,18,18,18,29,1,0,
0,0,0,0,0,0,0,0,0,1,30,11,2,25,25,25,25,25,25,25,25,25,25,29,1,0,
0,0,0,0,0,0,0,0,0,1,30,5,10,32,32,32,32,32,32,32,32,32,32,29,1,0,
0,0,0,0,0,0,0,0,0,1,30,11,12,2,5,5,11,12,3,9,10,11,12,29,1,0,
0,0,0,0,0,0,0,0,0,1,30,9,10,11,12,10,11,2,10,5,11,12,11,29,1,0,
0,0,0,0,0,0,0,0,0,1,43,36,36,36,36,36,36,36,36,36,36,36,36,44,1,0,
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0

