[header]
width=14
height=12
tilewidth=32
tileheight=32

[tilesets]
tileset=ChambreRosa/SolMurBordRosa.png,32,32,0,0

[layer]
type=Calque de Tile 1
data=
1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,18,12,12,12,12,12,12,12,12,12,12,14,1,
1,11,4,4,4,4,0,0,0,0,4,4,10,1,
1,11,5,5,5,5,0,0,0,0,5,5,10,1,
1,11,6,6,6,6,0,0,0,0,6,6,10,1,
1,11,2,2,2,2,2,2,2,2,2,2,9,1,
1,11,2,2,2,2,2,2,2,2,2,2,3,1,
1,11,2,2,2,2,2,2,2,2,2,2,8,1,
1,11,2,2,2,2,2,2,2,2,2,2,10,1,
1,11,2,2,2,2,2,2,2,2,2,2,10,1,
1,16,13,13,13,13,13,7,3,8,13,13,17,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1

