[header]
width=50
height=40
tilewidth=32
tileheight=32

[tilesets]
tileset=SalleBal.png,32,32,0,0

[layer]
type=Calque de Tile 1
data=
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,41,35,35,35,35,35,35,35,35,35,35,35,35,40,0,0,0,0,41,35,35,35,35,35,35,35,35,35,35,35,35,40,0,0,0,0,0,0,0,0,0,
0,41,35,35,35,35,35,35,35,27,26,26,0,26,26,26,26,26,26,0,26,26,29,35,35,35,35,27,26,26,0,26,26,26,26,26,26,0,26,26,29,35,35,35,35,35,35,35,40,0,
0,34,26,26,26,0,0,26,26,26,32,32,0,32,32,32,32,32,32,0,32,32,26,0,0,0,0,26,32,32,0,32,32,32,32,32,32,0,32,32,26,26,26,0,0,26,26,26,39,0,
0,34,32,32,32,0,0,32,32,32,38,38,0,38,38,38,38,38,38,0,38,38,32,0,0,0,0,32,38,38,0,38,38,38,38,38,38,0,38,38,32,32,32,0,0,32,32,32,39,0,
0,34,38,38,38,0,0,38,38,38,7,8,7,8,7,8,7,8,7,8,7,8,38,0,0,0,0,38,7,8,7,8,7,8,7,8,7,8,7,8,38,38,38,0,0,38,38,38,39,0,
0,34,8,7,8,5,4,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,5,4,5,4,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,5,4,7,8,7,39,0,
0,34,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,39,0,
0,34,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,39,0,
0,34,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,39,0,
0,34,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,39,0,
0,34,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,39,0,
0,34,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,39,0,
0,34,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,39,0,
0,34,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,8,7,39,0,
