[header]
width=15
height=14
tilewidth=32
tileheight=32

[tilesets]
tileset=chambreParents.png,32,32,0,0

[layer]
type=Calque de Tile 1
data=
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,24,18,18,18,18,18,18,18,18,20,1,
1,1,1,1,17,5,5,5,5,5,5,5,5,16,1,
1,1,1,1,17,6,6,6,6,6,6,6,6,16,1,
1,24,18,18,10,8,8,8,8,8,8,8,8,16,1,
1,17,5,5,5,2,2,2,2,2,2,2,2,16,1,
1,17,6,9,6,2,2,2,2,2,2,2,2,16,1,
1,17,8,12,8,2,2,2,2,2,2,2,2,16,1,
1,17,2,3,2,2,2,2,2,2,2,2,2,15,1,
1,17,2,2,2,2,2,2,2,2,2,2,2,3,1,
1,17,2,2,2,2,2,2,2,2,2,2,2,14,1,
1,17,2,2,2,2,2,2,2,2,2,2,2,16,1,
1,22,19,19,19,19,19,19,19,19,19,19,19,23,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1

